agent,id,loss,aug,lr,optimizer,schedule,geo_scale_km,geo_bucket,macro_auc,weighted_macro_auc,aves_auc,amphibia_auc,insecta_auc,mammalia_auc,pruned,epochs_run,train_time_s,params,py_path,weights_path,reason
regular,1,weighted_bce,specaugment,0.0005,adamw,cosine_decay,,,0.712,0.7207,0.7002,0.8569,0.6227,0.8821,False,10,2488.5,2253962,experiments_regular_gemma4\exp_001_weighted_bce_specaugment_lr0.0005_adamw_cosine_decay\model.py,experiments_regular_gemma4\exp_001_weighted_bce_specaugment_lr0.0005_adamw_cosine_decay\model.keras,"Since this is the first experiment, I am selecting a robust, balanced baseline configuration. Using weighted_bce addresses the potential class imbalance inherent in multi-label classification across 234 classes, which is crucial for maximizing macro_auc. Specaugment is a standard and highly effective augmentation for audio spectrograms. The combination of adamw (for better generalization via weight decay), 5e-4 (a stable learning rate), and cosine_decay (a smooth convergence schedule) provides a strong, modern starting point for fine-tuning the model."
regular,2,focal_g2.0,mixup,0.001,adam,constant,,,0.6696,0.6879,0.6465,0.8496,0.6639,0.9038,False,8,2069.2,2253962,experiments_regular_gemma4\exp_002_focal_g2.0_mixup_lr0.001_adam_constant\model.py,experiments_regular_gemma4\exp_002_focal_g2.0_mixup_lr0.001_adam_constant\model.keras,"The previous run used a stable but potentially conservative setup. This new combination aims for high exploration: we switch to the standard and powerful focal loss (gamma=2.0) to better handle class imbalance, use mixup for diverse data augmentation, and increase the initial learning rate to 1e-3. By pairing this aggressive setup with the standard Adam optimizer and a constant schedule, we test if a higher, stable learning rate allows the model to escape local minima and achieve better generalization than the previous decay schedule."
regular,3,weighted_bce,background_mix,0.001,adam,exp_decay,,,0.7016,0.7186,0.6807,0.846,0.7158,0.9377,False,9,2109.8,2253962,experiments_regular_gemma4\exp_003_weighted_bce_background_mix_lr0.001_adam_exp_decay\model.py,experiments_regular_gemma4\exp_003_weighted_bce_background_mix_lr0.001_adam_exp_decay\model.keras,"The previous best result used weighted BCE and specaugment. To explore new generalization paths, I am keeping the weighted_bce loss (critical for class imbalance) but changing the augmentation to background_mix, which introduces environmental noise regularization. I am increasing the initial learning rate to 1e-3 (the standard rate) and pairing it with the exp_decay schedule, which provides a different, more aggressive decay profile than the cosine decay used previously. This combination aims to maintain the strong performance foundation while testing different regularization and decay dynamics."
regular,4,focal_g2.0,specaugment,0.0005,adamw,cosine_decay,,,0.6522,0.6754,0.6237,0.8279,0.7137,0.9217,False,10,2765.5,2253962,experiments_regular_gemma4\exp_004_focal_g2.0_specaugment_lr0.0005_adamw_cosine_decay\model.py,experiments_regular_gemma4\exp_004_focal_g2.0_specaugment_lr0.0005_adamw_cosine_decay\model.keras,"The best previous result (ID 1) used weighted_bce, specaugment, 5e-4, adamw, and cosine_decay. This new experiment retains the highly successful augmentation (specaugment), learning rate (5e-4), optimizer (adamw), and schedule (cosine_decay), while systematically testing if the standard focal loss (focal_g2.0) can improve upon the performance achieved with weighted_bce."
regular,5,focal_g1.0,none,0.0001,adamw,cosine_decay,,,0.6036,0.6213,0.5806,0.8088,0.5743,0.7887,False,10,2866.7,2253962,experiments_regular_gemma4\exp_005_focal_g1.0_none_lr0.0001_adamw_cosine_decay\model.py,experiments_regular_gemma4\exp_005_focal_g1.0_none_lr0.0001_adamw_cosine_decay\model.keras,"The best previous result used `weighted_bce` with `specaugment` and `5e-4`. To explore a different region of the hyperparameter space, I propose a combination with minimal augmentation (`none`) and a significantly lower learning rate (`1e-4`) for stability. Using `focal_g1.0` provides a mild focus on hard examples without the aggressive regularization of higher gamma values, which might pair well with the stable `adamw` optimizer and `cosine_decay` schedule."
regular,6,weighted_bce,specaugment,0.0005,adam,constant,,,0.7262,0.7448,0.7037,0.8458,0.8069,0.9189,False,10,2798.8,2253962,experiments_regular_gemma4\exp_006_weighted_bce_specaugment_lr0.0005_adam_constant\model.py,experiments_regular_gemma4\exp_006_weighted_bce_specaugment_lr0.0005_adam_constant\model.keras,"The best previous result used weighted_bce, specaugment, 5e-4, adamw, and cosine_decay. To improve upon this, I will keep the highly successful loss (weighted_bce) and augmentation (specaugment), and the stable learning rate (5e-4). I am changing the optimizer from adamw to standard adam, and the schedule from cosine_decay to constant, to test if these fundamental changes yield better generalization without losing the core successful components."
regular,7,weighted_bce,specaugment,0.0005,adam,cosine_decay,,,0.6822,0.699,0.6608,0.8437,0.7019,0.8283,False,10,3014.6,2253962,experiments_regular_gemma4\exp_007_weighted_bce_specaugment_lr0.0005_adam_cosine_decay\model.py,experiments_regular_gemma4\exp_007_weighted_bce_specaugment_lr0.0005_adam_cosine_decay\model.keras,"The best performing experiment (id= 6) used weighted_bce, specaugment, 5e-4, adam, and constant. This new experiment retains the highly successful combination of loss, augmentation, learning rate, and optimizer, but systematically changes the schedule from 'constant' to 'cosine_decay'. This tests if the decay schedule is the limiting factor in the current best performance."
regular,8,weighted_bce,specaugment,0.0005,adamw,constant,,,0.7348,0.7529,0.7128,0.8509,0.8163,0.9151,False,10,3128.2,2253962,experiments_regular_gemma4\exp_008_weighted_bce_specaugment_lr0.0005_adamw_constant\model.py,experiments_regular_gemma4\exp_008_weighted_bce_specaugment_lr0.0005_adamw_constant\model.keras,"The previous best result (id 6) used weighted_bce, specaugment, 5e-4, adam, and constant. This new combination maintains the highly successful loss function, augmentation, learning rate, and schedule, while upgrading the optimizer from standard Adam to AdamW. AdamW often provides better generalization by incorporating weight decay, making it a strong candidate for improving the macro-auc scores."
regular,9,weighted_bce,specaugment,0.0005,sgd_momentum,constant,,,0.6149,0.6398,0.5828,0.8296,0.7199,0.683,False,10,2652.3,2253962,experiments_regular_gemma4\exp_009_weighted_bce_specaugment_lr0.0005_sgd_momentum_constant\model.py,experiments_regular_gemma4\exp_009_weighted_bce_specaugment_lr0.0005_sgd_momentum_constant\model.keras,"The combination (weighted_bce, specaugment, 0.0005, adamw, constant) yielded the best results (id=8). To improve, we should maintain the successful loss, augmentation, learning rate, and schedule, and test a different optimizer. SGD with momentum is a robust alternative to Adam/AdamW and is worth testing to see if it improves generalization without disrupting the stable configuration."
regular,10,weighted_bce,mixup,0.0005,adamw,cosine_decay,,,0.6713,0.6898,0.6481,0.855,0.6518,0.9462,False,10,2564.4,2253962,experiments_regular_gemma4\exp_010_weighted_bce_mixup_lr0.0005_adamw_cosine_decay\model.py,experiments_regular_gemma4\exp_010_weighted_bce_mixup_lr0.0005_adamw_cosine_decay\model.keras,"The past results strongly indicate that `weighted_bce` loss, `5e-4` learning rate, and `adamw` optimizer are highly effective components. We will combine these strong elements with `mixup` augmentation, which is a powerful technique for improving generalization, and use `cosine_decay` as the schedule. This combination has not been tested and represents a high-potential configuration."
eda,1,weighted_bce,background_mix,0.0005,adamw,cosine_decay,500.0,500,0.6759,0.6955,0.6514,0.8508,0.6928,0.917,False,10,3706.2,2253962,experiments_eda_gemma4\exp_001_weighted_bce_background_mix_lr0.0005_adamw_cosine_decay_geo500\model.py,experiments_eda_gemma4\exp_001_weighted_bce_background_mix_lr0.0005_adamw_cosine_decay_geo500\model.keras,"The configuration targets the three most critical weaknesses identified in the EDA: class imbalance, domain shift, and generalization. Using `weighted_bce` directly mitigates the structural issue of the metric (Finding 1), which penalizes poorly-modeled, rare non-bird classes. `background_mix` addresses the spectral domain shift (Finding 3) by simulating the continuous soundscape condition of the test set. Finally, setting `geo_scale_km` to 500 aggressively weights the training data toward the Pantanal wetlands (Finding 5), forcing the model to learn the local ecology. The moderate learning rate, `adamw`, and `cosine_decay` provide a stable, robust fine-tuning process."
eda,2,focal_g2.0,mixup,0.0001,sgd_momentum,exp_decay,1000.0,1000,0.6116,0.6357,0.5806,0.8287,0.6923,0.7071,False,10,3610.3,2253962,experiments_eda_gemma4\exp_002_focal_g2.0_mixup_lr0.0001_sgd_momentum_exp_decay_geo1000\model.py,experiments_eda_gemma4\exp_002_focal_g2.0_mixup_lr0.0001_sgd_momentum_exp_decay_geo1000\model.keras,"This configuration addresses the long-tail problem within Aves by using focal_g2.0, which is designed to focus on hard-to-classify, rare species (Finding 2). We switch to mixup augmentation to synthesize multi-label examples, directly simulating the high density of simultaneous species observed in the test soundscapes (Finding 4). Finally, we use a moderate geographic weighting (1000km) to aggressively prioritize the Pantanal data while allowing some global context, addressing the geographic domain shift (Finding 5)."
eda,3,weighted_bce,background_mix,0.001,adamw,cosine_decay,1000.0,1000,0.7039,0.7224,0.6812,0.8476,0.7453,0.9283,False,10,3580.3,2253962,experiments_eda_gemma4\exp_003_weighted_bce_background_mix_lr0.001_adamw_cosine_decay_geo1000\model.py,experiments_eda_gemma4\exp_003_weighted_bce_background_mix_lr0.001_adamw_cosine_decay_geo1000\model.keras,"This configuration aims to improve upon the strong results of the first run while exploring a different learning rate and geographic weighting. We retain `weighted_bce` and `background_mix` because they directly address the severe class imbalance (Finding 1) and the shift from monophonic focal data to complex, multi-species soundscapes (Finding 3 & 4). By setting the LR to the standard `1e-3` and using a moderate `1000km` geographic scale, we maintain a strong focus on the Pantanal region (Finding 5) without being overly aggressive, allowing the model to leverage more of the global training data while still prioritizing in-domain knowledge."
