agent,id,loss,aug,lr,optimizer,schedule,geo_scale_km,geo_bucket,macro_auc,weighted_macro_auc,aves_auc,amphibia_auc,insecta_auc,mammalia_auc,pruned,epochs_run,train_time_s,params,py_path,weights_path,reason
regular,1,plain_bce,specaugment,0.0005,adamw,cosine_decay,,,0.6919,0.6978,0.6838,0.8252,0.5638,0.8925,False,10,910.1,2253962,experiments_regular_qwen2.5-coder_7b/exp_001_plain_bce_specaugment_lr0.0005_adamw_cosine_decay/model.py,experiments_regular_qwen2.5-coder_7b/exp_001_plain_bce_specaugment_lr0.0005_adamw_cosine_decay/model.keras,"Starting with a standard binary cross-entropy loss function is often a good baseline. SpecAugment can help improve model robustness by introducing randomness into the training data. A slightly lower learning rate of 5e-4 may provide better generalization compared to the default 1e-3. AdamW, which includes weight decay, can sometimes lead to better performance on multi-label classification tasks. Cosine decay scheduling allows the learning rate to smoothly decrease throughout training, potentially leading to more stable convergence."
regular,2,focal_g2.0,mixup,0.001,adamw,exp_decay,,,0.6178,0.6498,0.5782,0.8514,0.7419,0.8953,False,9,880.3,2253962,experiments_regular_qwen2.5-coder_7b/exp_002_focal_g2.0_mixup_lr0.001_adamw_exp_decay/model.py,experiments_regular_qwen2.5-coder_7b/exp_002_focal_g2.0_mixup_lr0.001_adamw_exp_decay/model.keras,"Focal loss with gamma=2.0 can help with hard examples, while mixup adds diversity to the training data. A slightly lower learning rate and exponential decay schedule might provide a balance between convergence speed and generalization."
regular,3,plain_bce,background_mix,0.0001,adamw,constant,,,0.6181,0.6318,0.5994,0.8178,0.5632,0.7123,False,4,393.3,2253962,experiments_regular_qwen2.5-coder_7b/exp_003_plain_bce_background_mix_lr0.0001_adamw_constant/model.py,experiments_regular_qwen2.5-coder_7b/exp_003_plain_bce_background_mix_lr0.0001_adamw_constant/model.keras,"This combination aims to explore a different augmentation technique (background mix) with a lower learning rate and the AdamW optimizer, which can help in fine-tuning the model without overfitting. The constant learning rate schedule allows for more stable convergence during training."
regular,4,focal_g2.0,none,0.0001,adamw,cosine_decay,,,0.6007,0.6225,0.5734,0.811,0.5958,0.8849,False,10,987.0,2253962,experiments_regular_qwen2.5-coder_7b/exp_004_focal_g2.0_none_lr0.0001_adamw_cosine_decay/model.py,experiments_regular_qwen2.5-coder_7b/exp_004_focal_g2.0_none_lr0.0001_adamw_cosine_decay/model.keras,"The previous experiments with focal loss showed promising results, and using no augmentation might help in stabilizing the training process. A lower learning rate can provide more stable convergence, while AdamW is a good choice for its regularization properties. Cosine decay scheduling can help in fine-tuning the model towards the end of training without overshooting."
regular,5,plain_bce,specaugment,0.0001,adamw,exp_decay,,,0.6248,0.6411,0.6029,0.8259,0.6118,0.7099,False,4,404.0,2253962,experiments_regular_qwen2.5-coder_7b/exp_005_plain_bce_specaugment_lr0.0001_adamw_exp_decay/model.py,experiments_regular_qwen2.5-coder_7b/exp_005_plain_bce_specaugment_lr0.0001_adamw_exp_decay/model.keras,"This combination aims to balance a higher learning rate with AdamW optimizer, which has been shown to perform well on multi-label classification tasks. Specaugment augmentation is used to introduce variability and robustness in the training process. The exponential decay schedule allows for a gradual reduction of the learning rate as training progresses, potentially leading to better generalization."
regular,6,focal_g2.0,specaugment,0.0001,adamw,cosine_decay,,,0.6147,0.639,0.5844,0.8323,0.6308,0.9283,False,10,1022.5,2253962,experiments_regular_qwen2.5-coder_7b/exp_006_focal_g2.0_specaugment_lr0.0001_adamw_cosine_decay/model.py,experiments_regular_qwen2.5-coder_7b/exp_006_focal_g2.0_specaugment_lr0.0001_adamw_cosine_decay/model.keras,"The `focal_g2.0` loss has shown promise in previous experiments, and combining it with `specaugment` augmentation can help improve generalization. A lower learning rate (`1e-4`) might be more stable for this combination, while `adamw` is a good default optimizer that often performs well. Using `cosine_decay` allows the learning rate to smoothly decrease over time, which can help in fine-tuning and potentially improving performance on the validation set."
regular,7,plain_bce,mixup,0.001,adamw,cosine_decay,,,0.6348,0.6601,0.6031,0.852,0.6891,0.8736,False,10,1027.0,2253962,experiments_regular_qwen2.5-coder_7b/exp_007_plain_bce_mixup_lr0.001_adamw_cosine_decay/model.py,experiments_regular_qwen2.5-coder_7b/exp_007_plain_bce_mixup_lr0.001_adamw_cosine_decay/model.keras,"The combination of plain binary cross-entropy (plain_bce) with mixup augmentation and a moderate learning rate (1e-3) using AdamW optimizer with a cosine decay schedule has not been explored yet. This setup aims to balance between simplicity and effectiveness, leveraging the strengths of both loss function and augmentation technique while providing a smooth learning rate adjustment throughout training."
regular,8,focal_g2.0,background_mix,0.0001,adamw,exp_decay,,,0.6164,0.6375,0.5902,0.8098,0.6166,0.9142,False,10,1024.1,2253962,experiments_regular_qwen2.5-coder_7b/exp_008_focal_g2.0_background_mix_lr0.0001_adamw_exp_decay/model.py,experiments_regular_qwen2.5-coder_7b/exp_008_focal_g2.0_background_mix_lr0.0001_adamw_exp_decay/model.keras,"The combination of focal loss with a lower learning rate and exponential decay scheduling has shown promise in previous experiments, while background mix augmentation can help improve generalization."
regular,9,plain_bce,specaugment,0.001,adamw,exp_decay,,,0.7308,0.7509,0.7062,0.8574,0.8364,0.8906,False,10,1031.1,2253962,experiments_regular_qwen2.5-coder_7b/exp_009_plain_bce_specaugment_lr0.001_adamw_exp_decay/model.py,experiments_regular_qwen2.5-coder_7b/exp_009_plain_bce_specaugment_lr0.001_adamw_exp_decay/model.keras,"This combination builds on the success of using `specaugment` and `adamw`, while experimenting with a higher learning rate (`1e-3`) and exponential decay scheduling. It aims to balance exploration and exploitation, leveraging the strengths of previous experiments while avoiding configurations that have been pruned."
regular,10,focal_g2.0,mixup,0.0001,adamw,cosine_decay,,,0.5592,0.5829,0.5291,0.7964,0.5589,0.8236,False,10,1036.3,2253962,experiments_regular_qwen2.5-coder_7b/exp_010_focal_g2.0_mixup_lr0.0001_adamw_cosine_decay/model.py,experiments_regular_qwen2.5-coder_7b/exp_010_focal_g2.0_mixup_lr0.0001_adamw_cosine_decay/model.keras,"The previous experiments with focal loss and mixup augmentation showed promising results, particularly when combined with a lower learning rate. Using cosine decay for the learning rate schedule can help stabilize training by gradually reducing the learning rate towards the end of training."
